OBJECTID,Agency (Primary),HQTA Type,Stop ID,Route ID,HQTA Details,Agency (Secondary),Agency (Primary) GTFS Feed,Agency (Secondary) GTFS Feed,Average Trips per Peak Hour,Metropolitan Planning Organization,Plan Name,x,y
15520,Santa Clara Valley Transportation Authority,major_stop_bus,63306,68,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,4, , ,-121.79949,37.2371320010001
15521,Santa Clara Valley Transportation Authority,major_stop_bus,63343,27,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.67, , ,-121.795928,37.236795
15522,Santa Clara Valley Transportation Authority,major_stop_bus,63343,66,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.67, , ,-121.795928,37.236795
15523,Santa Clara Valley Transportation Authority,major_stop_bus,63343,68,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.67, , ,-121.795928,37.236795
15524,Santa Clara Valley Transportation Authority,major_stop_bus,63486,42,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.75, , ,-121.834189,37.277997
15525,Santa Clara Valley Transportation Authority,major_stop_bus,63486,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.75, , ,-121.834189,37.277997
15526,Santa Clara Valley Transportation Authority,major_stop_bus,63488,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.75, , ,-121.827112,37.278058
15527,Santa Clara Valley Transportation Authority,major_stop_bus,63488,73,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.75, , ,-121.827112,37.278058
15528,Santa Clara Valley Transportation Authority,major_stop_bus,63488,72,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.75, , ,-121.827112,37.278058
15529,Santa Clara Valley Transportation Authority,major_stop_bus,63489,72,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.75, , ,-121.8233,37.2799350000001
