OBJECTID,access_id,station_id,access_point_name,location_type,x,y
50,MLPT_2,mtc:great-mall-milpitas-bart,East Station Entrance / Exit,2,-121.89068,37.41013
51,DUBL_1,mtc:dublin-pleasanton-bart,Main Entrance / Exit,2,-121.89818,37.70165
52,CIVC_1,mtc:civic-center-bart,Elevator Entrance / Exit,2,-122.41369,37.77971
53,WARM_1,mtc:warm-springs-south-fremont-bart,Main (East) Entrance / Exit,2,-121.93842,37.50225
54,16TH_1,901509,A 16TH & Mission SW Entrance / Exit,2,-122.42003,37.76474
55,BALB_2,901809,A1 Geneva Ave Entrance / Exit,2,-122.44762,37.72082
56,LAKE_4,902109,A1 NE Chinatown Entrance / Exit,2,-122.26552,37.7976
57,DBRK_4,904209,A1 Shattuck Ave & Addison Street (East) Entrance / Exit,2,-122.26813,37.87101
58,24TH_3,901609,A 24TH & Mission SW Entrance / Exit,2,-122.41882,37.75194
59,BALB_1,901809,A2 John F Foran Fwy (Ramp) Entrance / Exit,2,-122.4475,37.72198
60,LAKE_3,902109,A2 SE 9th & Oak St Entrance / Exit,2,-122.26482,37.79739
61,DBRK_2,904209,A2 Shattuck Ave & Allston Way (East) Entrance / Exit,2,-122.26776,37.86971
62,ASHB_2,904109,Adeline Street East Entrance / Exit Elevator,2,-122.26956,37.85276
63,ASHB_1,904109,Adeline Street East Entrance / Exit Stairs,2,-122.26969,37.8524
64,ASHB_3,904109,TDB Pedestrian Access Point,2,-122.27006,37.85282
65,16TH_2,901509,B 16TH & Mission NE Entrance / Exit,2,-122.41933,37.76528
66,BALB_3,901809,B1 Geneva Ave Entrance / Exit,2,-122.44733,37.72118
67,LAKE_1,902109,B1 NW 8th & Oak St Jack London Sq Entrance / Exit,2,-122.26558,37.79711
68,DBRK_3,904209,B1 Shattuck Ave & Addison Street (West) Entrance / Exit,2,-122.26836,37.87101
69,24TH_2,901609,B 24TH & Mission NE Entrance / Exit,2,-122.4181,37.75248
70,BALB_5,901809,B2 (Elevator) Geneva Ave Entrance / Exit,2,-122.44757,37.72124
71,LAKE_2,902109,"B2 SW 8th St, Laney College Entrance / Exit",2,-122.26515,37.79707
72,DBRK_5,904209,B3 DBRK Entrance / Exit,2,-122.26821,37.8701
73,BALB_4,901809,B3 Geneva Ave Entrance / Exit,2,-122.44738,37.72133
74,BALB_6,901809,B4 John F Foran Fwy (Ramp) Entrance / Exit,2,-122.44732,37.72196
75,DBRK_1,904209,B4 Shattuck Ave & Allston Way (West) Entrance / Exit,2,-122.26818,37.8695
76,SSAN_1,906209,East Concourse Entrance / Exit,2,-122.44383,37.66432
77,SANL_2,902409,East Entrance / Exit,2,-122.16044,37.72152
78,FRMT_1,902909,East Plaza Entrance / Exit,2,-121.97642,37.55751
79,24TH_1,901609,Elevator Entrance / Exit,2,-122.41832,37.75258
80,16TH_3,901509,Elevator Entrance / Exit,2,-122.41954,37.76535
81,SBRN_1,906309,Huntington Ave Entrance / Exit,2,-122.41613,37.63779
82,SHAY_1,902709,Main Entrance / Exit,2,-122.05685,37.63451
83,BERY_1,909509,Main Entrance / Exit,2,-121.8745,37.36847
84,HAYW_1,902609,Main Entrance / Exit,2,-122.08659,37.66958
85,CAST_1,905109,Main Entrance / Exit,2,-122.07592,37.69131
86,ROCK_2,903109,Main (South) Entrance / Exit,2,-122.25143,37.8445
87,NBRK_1,904309,North Entrance / Exit,2,-122.28345,37.8741
88,WOAK_1,901109,North Station Entrance / Exit,2,-122.29529,37.80503
89,BERY_3,909509,South Entrance / Exit,2,-121.87428,37.36756
90,WOAK_2,901109,South Station Entrance / Exit,2,-122.29538,37.80489
91,FRMT_3,902909,Station Entrance / Exit,2,-121.97645,37.55763
92,BAYF_2,902509,West Entrance / Exit,2,-122.12698,37.69687
93,SANL_1,902409,West Entrance / Exit,2,-122.16061,37.72144
94,FRMT_2,902909,West Plaza Entrance / Exit,2,-121.9767,37.5574
95,Future_BART_Station_Diridon,Future_BART_Station_Diridon,Future_BART_Station_Diridon,2,-121.90138,37.33153
96,"geom:37.33151,-121.90201",Future_BART_Station_Diridon,Future_BART_Station_Diridon,2,-121.90201,37.33151
97,Future_BART_Station_SantaClara,Future_BART_Station_SantaClara,Future_BART_Station_SantaClara,2,-121.93684,37.35447
98,Future_BART_Station_DowntownSanJose,Future_BART_Station_DowntownSanJose,Future_BART_Station_DowntownSanJose,2,-121.89133,37.33595
99,"geom:37.33633,-121.89151",Future_BART_Station_DowntownSanJose,Future_BART_Station_DowntownSanJose,2,-121.89151,37.33633
100,Future_BART_Station_28thSt,Future_BART_Station_28thSt,Future_BART_Station_28thSt,2,-121.86525,37.35036
101,"geom:37.35084,-121.86524",Future_BART_Station_28thSt,Future_BART_Station_28thSt,2,-121.86524,37.35084
102,Future_BART_Station_Irvington,Future_BART_Station_Irvington,Future_BART_Station_Irvington,2,-121.95368,37.53224
103,"geom:37.53223,-121.95355",Future_BART_Station_Irvington,Future_BART_Station_Irvington,2,-121.95355,37.53223
104,"geom:37.53249,-121.95406",Future_BART_Station_Irvington,Future_BART_Station_Irvington,2,-121.95406,37.53249
105,DALY_1,mtc:daly-city-bart,Pedestrian Access Point,2,-122.46915,37.70618
106,"geom:37.70593,-122.46904",mtc:daly-city-bart,Pedestrian Access Point,2,-122.46904,37.70593
107,"geom:37.70605,-122.46928",mtc:daly-city-bart,Pedestrian Access Point,2,-122.46928,37.70605
108,"geom:37.70646,-122.46862",mtc:daly-city-bart,Pedestrian Access Point,2,-122.46862,37.70646
109,"geom:37.70656,-122.46882",mtc:daly-city-bart,Pedestrian Access Point,2,-122.46882,37.70656
110,"geom:37.70615,-122.46886",mtc:daly-city-bart,Pedestrian Access Point,2,-122.46886,37.70615
111,COLM_1,906109,West Entrance / Exit to Parking Garage,2,-122.46635,37.68448
112,COLM_2,906109,East Entrance / Exit,2,-122.46603,37.68477
113,"geom:37.68331,-122.46793",906109,Pedestrian Access Point,2,-122.46793,37.68331
114,SSAN_2,906209,West Concourse Entrance / Exit,2,-122.44405,37.6641
115,SBRN_2,906309,Pedestrian Access Point,2,-122.41648,37.63771
116,"geom:37.63790,-122.41625",906309,Pedestrian Access Point,2,-122.41625,37.6379
117,"geom:37.63763,-122.41609",906309,Pedestrian Access Point,2,-122.41609,37.63763
118,GLEN_1,901709,Main Entrance / Exit,2,-122.43387,37.73317
119,"geom:37.60026,-122.38735",mtc:millbrae-bart,Main Entrance / Exit,2,-122.38735,37.60026
120,"geom:37.59978,-122.38682",mtc:millbrae-bart,Main Entrance / Exit,2,-122.38682,37.59978
121,"geom:37.36876,-121.87445",909509,Pedestrian Access Point,2,-121.87445,37.36876
122,"geom:37.36849,-121.87439",909509,Pedestrian Access Point,2,-121.87439,37.36849
123,"geom:37.36824,-121.87425",909509,Pedestrian Access Point,2,-121.87425,37.36824
124,BERY_2,909509,North Entrance / Exit,2,-121.8749,37.36944
125,"geom:37.36896,-121.87502",909509,Pedestrian Access Point,2,-121.87502,37.36896
126,"geom:37.36900,-121.87477",909509,North Entrance / Exit,2,-121.87477,37.369
127,"geom:37.36793,-121.87471",909509,Pedestrian Access Point,2,-121.87471,37.36793
128,"geom:37.40894,-121.89141",mtc:great-mall-milpitas-bart,West Station Entrance / Exit,2,-121.89141,37.40894
129,"geom:37.41084,-121.89106",mtc:great-mall-milpitas-bart,East Station Entrance / Exit,2,-121.89106,37.41084
130,"geom:37.40982,-121.89054",mtc:great-mall-milpitas-bart,East Station Entrance / Exit,2,-121.89054,37.40982
131,"geom:37.36802,-121.87430",909509,Pedestrian Access Point,2,-121.8743,37.36802
132,"geom:37.40986,-121.89121",mtc:great-mall-milpitas-bart,West Station Entrance / Exit,2,-121.89121,37.40986
133,"geom:37.40995,-121.89125",mtc:great-mall-milpitas-bart,West Station Entrance / Exit,2,-121.89125,37.40995
134,"geom:37.50182,-121.94044",mtc:warm-springs-south-fremont-bart,Pedestrian Access Point,2,-121.94044,37.50182
135,"geom:37.50194,-121.94040",mtc:warm-springs-south-fremont-bart,Pedestrian Access Point,2,-121.9404,37.50194
