"geoid","ll_uuid","zn_county","municipality_name","zn_code","zn_description","zoning_type","zoning_subtype","allows_residential","allows_comm_office","permitted_land_uses","zn_max_coverage_pct","zn_max_far","zn_max_height_ft","zn_max_dua","zn_min_lot_area_sq_ft","ed_bldg_footprint_sqft","ed_lat","ed_lon","geometry","vacancy_status","actual_lot_coverage_pct"
"06075","36842c00-f1ab-48a5-a92f-df4b35435c7b","San Francisco","San Francisco","RH-2-40-X","Residential House Two Family","Residential","Two Family",,,"{""other"":[""signage"",""multiple"",""uncategorized""],""lodging"":[""hotel/motel""],""parking"":[""parking garage or lot""],""community"":[""schools and universities"",""medical"",""public, quasi-public, and government""],""commercial"":[""professional office""],""mechanical"":[""util",-9999.0,1.8,40.0,-5555.0,2500.0,71.7261965681039,37.755113388,-122.400233044,"01060000000100000001030000000100000005000000B919B6BA9C995EC03ECFD30CA9E04240E18D729F9C995EC047BB35CEA6E04240B1367C46A2995EC029C80B1EA6E04240B2CBBE61A2995EC0486DAB5CA8E04240B919B6BA9C995EC03ECFD30CA9E04240","Developed",2.87
"06075","f048ade9-cf75-4df1-86a2-072a5d5810c9","San Francisco","San Francisco","RH-2-40-X","Residential House Two Family","Residential","Two Family",,,"{""other"":[""signage"",""multiple"",""uncategorized""],""lodging"":[""hotel/motel""],""parking"":[""parking garage or lot""],""community"":[""schools and universities"",""medical"",""public, quasi-public, and government""],""commercial"":[""professional office""],""mechanical"":[""util",-9999.0,1.8,40.0,-5555.0,2500.0,1421.00687279389,37.7617300000001,-122.3971,"01060000000100000001030000000100000005000000D8B1795567995EC09B8215C781E14240BA25363A67995EC0A3DB76887FE14240EF471FF46C995EC0D0E34DD87EE142400ED4620F6D995EC08095EC1681E14240D8B1795567995EC09B8215C781E14240","Developed",56.839999999999996
"06075","1d80a276-df88-48d0-8f95-7aa60d4a7ba1","San Francisco","San Francisco","PDR-1-G-58-X","Production Distribution And Repair General","Special","Special",,,"{""other"":[""multiple"",""signage"",""accessory"",""uncategorized""],""retail"":[""general retail"",""restricted retail"",""personal services""],""parking"":[""parking garage or lot""],""community"":[""public, quasi-public, and government"",""transportation facilities and infrastru",-9999.0,4.0,58.0,-9999.0,2500.0,7242.27142645056,37.753696,-122.38999,"01060000000100000001030000000100000005000000CA44D07AF8985EC0BDD3E0D572E04240F9A9B60FF9985EC060DA92347FE04240DC9EEC48F5985EC0BF14A1A17FE04240843007B4F4985EC0A4741F4773E04240CA44D07AF8985EC0BDD3E0D572E04240","Developed",289.69
"06075","735d6ecf-8145-4ee7-a88b-0adff6bb1f58","San Francisco","San Francisco","PDR-1-G-58-X","Production Distribution And Repair General","Special","Special",,,"{""other"":[""multiple"",""signage"",""accessory"",""uncategorized""],""retail"":[""general retail"",""restricted retail"",""personal services""],""parking"":[""parking garage or lot""],""community"":[""public, quasi-public, and government"",""transportation facilities and infrastru",-9999.0,4.0,58.0,-9999.0,2500.0,8114.69893207665,37.754017,-122.39061,"010600000001000000010300000001000000060000007A652BBAF5985EC0487B61F888E04240DC9EEC48F5985EC0BF14A1A17FE04240F9A9B60FF9985EC060DA92347FE0424029577BA100995EC034E015527EE04240DBABEB1601995EC0749BD6A887E042407A652BBAF5985EC0487B61F888E04240","Developed",324.59000000000003
"06075","735d6ecf-8145-4ee7-a88b-0adff6bb1f58","San Francisco","San Francisco","PDR-1-G-58-X","Production Distribution And Repair General","Special","Special",,,"{""other"":[""multiple"",""signage"",""accessory"",""uncategorized""],""retail"":[""general retail"",""restricted retail"",""personal services""],""parking"":[""parking garage or lot""],""community"":[""public, quasi-public, and government"",""transportation facilities and infrastru",-9999.0,4.0,58.0,-9999.0,2500.0,8823.02278819907,37.7540500000001,-122.390076,"010600000001000000010300000001000000060000007A652BBAF5985EC0487B61F888E04240DC9EEC48F5985EC0BF14A1A17FE04240F9A9B60FF9985EC060DA92347FE0424029577BA100995EC034E015527EE04240DBABEB1601995EC0749BD6A887E042407A652BBAF5985EC0487B61F888E04240","Developed",352.91999999999996
"06075","0bd6f8c0-7af1-41cc-b33c-49fb72477b34","San Francisco","San Francisco","NC-2-40-X","Neighborhood Commercial Small Scale","Commercial","Neighborhood Commercial",,,"{""other"":[""multiple"",""signage"",""uncategorized""],""retail"":[""general retail"",""eating and drinking establishments"",""professional services"",""restricted retail"",""personal services""],""lodging"":[""hotel/motel""],""parking"":[""parking garage or lot""],""community"":[""pub",-9999.0,2.5,40.0,-5555.0,2500.0,3017.62483040711,37.7601700000001,-122.39704,"0106000000010000000103000000010000000500000018EBB1B96A995EC01EB8736550E142401C922DE667995EC0971C87BD50E1424024E5639467995EC07810CF2F4AE14240203EE8676A995EC0E415BAD749E1424018EBB1B96A995EC01EB8736550E14240","Developed",120.7
"06075","20145ece-72dc-424c-b525-c1dbd167ed92","San Francisco","San Francisco","RH-2-40-X","Residential House Two Family","Residential","Two Family",,,"{""other"":[""signage"",""multiple"",""uncategorized""],""lodging"":[""hotel/motel""],""parking"":[""parking garage or lot""],""community"":[""schools and universities"",""medical"",""public, quasi-public, and government""],""commercial"":[""professional office""],""mechanical"":[""util",-9999.0,1.8,40.0,-5555.0,2500.0,1413.48145336146,37.76061,-122.39894,"010600000001000000010300000001000000050000009B01FF7A85995EC0BAE7DDFE5CE142401BC1D36185995EC0498F62EE5AE14240EB69DD088B995EC0846F3A3E5AE1424094B307228B995EC0CDD1B54E5CE142409B01FF7A85995EC0BAE7DDFE5CE14240","Developed",56.54
"06075","20145ece-72dc-424c-b525-c1dbd167ed92","San Francisco","San Francisco","RH-2-40-X","Residential House Two Family","Residential","Two Family",,,"{""other"":[""signage"",""multiple"",""uncategorized""],""lodging"":[""hotel/motel""],""parking"":[""parking garage or lot""],""community"":[""schools and universities"",""medical"",""public, quasi-public, and government""],""commercial"":[""professional office""],""mechanical"":[""util",-9999.0,1.8,40.0,-5555.0,2500.0,116.200807995963,37.7606250310001,-122.398772104,"010600000001000000010300000001000000050000009B01FF7A85995EC0BAE7DDFE5CE142401BC1D36185995EC0498F62EE5AE14240EB69DD088B995EC0846F3A3E5AE1424094B307228B995EC0CDD1B54E5CE142409B01FF7A85995EC0BAE7DDFE5CE14240","Developed",4.65
"06075","31f7c4d4-c711-4fb2-ab2b-d765d55e3df8","San Francisco","San Francisco","UMU-40-X","Urban Mixed Use","Mixed","Mixed Use",,,"{""other"":[""multiple"",""signage"",""uncategorized""],""retail"":[""general retail"",""restricted retail"",""personal services""],""lodging"":[""hotel/motel""],""parking"":[""parking garage or lot""],""community"":[""public, quasi-public, and government"",""transportation facilities",-9999.0,-9999.0,40.0,-9999.0,2500.0,4827.65347374126,37.753162,-122.393486,"01060000000100000001030000000100000006000000A2B0CA4F2A995EC03354DE3B6AE0424022709F362A995EC0B74E855968E042407C562A172A995EC0F94DD2C265E0424006FF33BE2F995EC0D73F0C1B65E042405562D3F62F995EC0F8234A9869E04240A2B0CA4F2A995EC03354DE3B6AE04240","Developed",193.10999999999999
"06075","6fbc9597-b978-4da5-898c-79564e656c5a","San Francisco","San Francisco","UMU-40-X","Urban Mixed Use","Mixed","Mixed Use",,,"{""other"":[""multiple"",""signage"",""uncategorized""],""retail"":[""general retail"",""restricted retail"",""personal services""],""lodging"":[""hotel/motel""],""parking"":[""parking garage or lot""],""community"":[""public, quasi-public, and government"",""transportation facilities",-9999.0,-9999.0,40.0,-9999.0,2500.0,9825.52379131365,37.75327,-122.39297,"01060000000100000001030000000100000008000000A2B0CA4F2A995EC03354DE3B6AE042408C2FCD902A995EC0B1BBCA9F6FE042401135F0BE2A995EC06852583673E042401883E71725995EC08D201EDE73E04240D207C1A824995EC0154BA4E36AE04240EE634FCA24995EC0638419FD68E0424022709F362A995EC0B74E855968E04240A2B0CA4F2A995EC03354DE3B6AE04240","Developed",393.02
