pop_23,white_23,B19001_001E_x,hinc_23,mhval_23,mhval_23_se,mrent_23,mrent_23_se,total_25_23,total_25_col_bd_23,total_25_col_md_23,total_25_col_pd_23,state_x,county_x,tract_x,total_25_col_phd_23,tot_units_built_23,units_40_49_built_23,units_39_early_built_23,ohu_23,rhu_23,mmhcosts_23,iinc_23,B19001_001E_y,I_10000_23,I_15000_23,I_20000_23,I_25000_23,I_30000_23,I_35000_23,I_40000_23,I_45000_23,I_50000_23,I_60000_23,I_75000_23,I_100000_23,I_125000_23,I_150000_23,I_200000_23,I_201000_23,mov_wc_w_income_23,mov_wc_9000_23,mov_wc_15000_23,mov_wc_25000_23,mov_wc_35000_23,mov_wc_50000_23,mov_wc_65000_23,mov_wc_75000_23,mov_wc_76000_more_23,mov_oc_w_income_23,mov_oc_9000_23,mov_oc_15000_23,mov_oc_25000_23,mov_oc_35000_23,mov_oc_50000_23,mov_oc_65000_23,mov_oc_75000_23,mov_oc_76000_more_23,mov_os_w_income_23,mov_os_9000_23,mov_os_15000_23,mov_os_25000_23,mov_os_35000_23,mov_os_50000_23,mov_os_65000_23,mov_os_75000_23,mov_os_76000_more_23,mov_fa_w_income_23,mov_fa_9000_23,mov_fa_15000_23,mov_fa_25000_23,mov_fa_35000_23,mov_fa_50000_23,mov_fa_65000_23,mov_fa_75000_23,mov_fa_76000_more_23,FIPS,mhval_19,mhval_19_se,mrent_19,mrent_19_se,mov_wc_w_income_19,mov_wc_9000_19,mov_wc_15000_19,mov_wc_25000_19,mov_wc_35000_19,mov_wc_50000_19,mov_wc_65000_19,mov_wc_75000_19,state_y,county_y,tract_y,mov_wc_76000_more_19,mov_oc_w_income_19,mov_oc_9000_19,mov_oc_15000_19,mov_oc_25000_19,mov_oc_35000_19,mov_oc_50000_19,mov_oc_65000_19,mov_oc_75000_19,mov_oc_76000_more_19,mov_os_w_income_19,mov_os_9000_19,mov_os_15000_19,mov_os_25000_19,mov_os_35000_19,mov_os_50000_19,mov_os_65000_19,mov_os_75000_19,mov_os_76000_more_19,mov_fa_w_income_19,mov_fa_9000_19,mov_fa_15000_19,mov_fa_25000_19,mov_fa_35000_19,mov_fa_50000_19,mov_fa_65000_19,mov_fa_75000_19,mov_fa_76000_more_19,iinc_19
3094,2107,1316,250001,1802100,143377,3501,-333333333,2440,890,616,257,06,001,400100,325,1455,33,75,1207,109,4001,123285,1316,79,0,0,24,15,13,23,0,0,45,8,17,89,94,117,792,59,0,13,0,0,0,0,0,46,105,0,0,38,0,7,0,0,60,39,0,12,0,17,0,0,0,10,10,0,0,0,0,10,0,0,0,06001400100,1197900,68223,3501,-333333333,76,0,0,0,31,0,0,0,06,001,400100,45,106,0,0,0,0,0,0,0,106,77,0,0,0,0,0,0,0,77,25,18,0,0,7,0,0,0,0,93542
2093,1408,861,225880,1930000,172363,2949,487,1710,577,467,230,06,001,400200,162,893,102,605,506,355,3218,110313,861,12,15,8,6,0,0,0,3,4,20,29,54,57,41,131,481,58,0,5,7,0,4,4,16,22,74,0,4,6,0,0,0,4,60,82,3,16,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,06001400200,1385400,191210,2226,225,30,4,0,7,4,0,4,0,06,001,400200,11,39,0,0,0,0,0,22,0,17,32,7,0,0,6,6,6,0,7,20,0,8,4,0,0,0,0,8,91705
5727,3365,2713,157731,1850900,230587,2246,278,4460,1698,1140,531,06,001,400300,234,2897,253,1343,1081,1632,2682,90817,2713,120,96,51,46,72,28,63,0,15,35,170,299,210,130,260,1118,375,38,0,0,0,102,13,0,222,173,0,0,0,12,0,0,0,161,126,0,0,14,38,0,0,0,74,104,8,0,0,0,0,0,0,96,06001400300,1053200,121286,1719,149,280,20,0,0,15,30,0,17,06,001,400300,198,183,17,0,31,14,15,17,39,50,179,38,3,21,14,10,0,19,74,56,3,0,0,0,13,14,0,26,69103
4395,2645,1803,159612,1398400,263483,2485,253,3280,1235,829,307,06,001,400400,276,1996,134,1425,976,827,2568,92569,1803,8,8,91,35,64,9,5,20,0,81,86,78,202,107,298,711,224,0,9,0,0,25,9,0,181,82,0,0,0,0,0,0,0,82,72,34,0,0,11,0,12,0,15,0,0,0,0,0,0,0,0,0,06001400400,1111600,117913,1894,204,138,26,0,0,0,40,8,0,06,001,400400,64,135,36,11,0,0,9,13,9,57,75,5,0,30,0,10,0,0,30,23,12,0,0,0,0,11,0,0,64328
3822,1696,1655,96250,1313500,425242,2154,306,2938,960,761,143,06,001,400500,138,1787,197,1046,784,871,2638,57768,1655,25,36,33,113,14,7,15,32,90,38,297,131,93,130,182,419,304,75,0,10,3,32,10,36,138,89,0,0,18,17,7,0,0,47,67,0,0,7,0,0,0,0,60,0,0,0,0,0,0,0,0,0,06001400500,813800,105558,1792,164,333,13,0,9,47,61,53,7,06,001,400500,143,162,0,10,27,28,41,0,0,56,111,0,0,0,24,44,17,4,22,38,38,0,0,0,0,0,0,0,48750
1957,801,795,134583,1215800,91906,2268,197,1545,495,258,70,06,001,400600,99,814,106,507,357,438,2410,69012,795,42,58,0,0,28,18,0,8,19,5,29,89,74,71,77,277,114,0,0,13,13,0,15,15,58,122,18,0,0,0,10,0,0,94,4,0,0,0,0,0,0,0,4,20,0,0,20,0,0,0,0,0,06001400600,825700,60029,1718,213,187,19,4,18,54,22,19,0,06,001,400600,51,97,0,0,8,6,11,12,2,58,57,35,6,0,0,0,10,0,6,5,0,0,5,0,0,0,0,0,50987
4404,2230,1899,111302,1098200,114395,2185,351,3501,1110,925,161,06,001,400700,118,2185,215,1282,649,1250,2471,58389,1899,61,64,35,98,62,45,9,24,16,130,148,219,217,89,342,340,231,0,0,45,1,0,88,14,83,187,33,25,14,0,42,0,0,73,19,0,0,0,5,0,0,0,14,40,0,0,0,0,0,0,0,40,06001400700,702500,46950,1585,256,319,9,64,131,0,44,23,0,06,001,400700,48,241,16,0,63,31,11,46,20,54,247,26,26,30,30,42,7,10,76,9,0,9,0,0,0,0,0,0,38235
4583,2441,1915,129844,1054000,86061,2228,472,3679,1276,805,105,06,001,400800,209,2020,202,880,733,1182,2411,59789,1915,102,58,125,68,48,16,72,23,8,25,76,255,74,95,389,481,381,66,8,50,9,27,21,40,160,211,38,29,0,0,12,0,31,101,8,0,0,0,8,0,0,0,0,45,0,0,0,0,20,0,0,25,06001400800,697000,47483,1714,389,454,26,9,55,44,77,171,37,06,001,400800,35,137,28,24,0,16,0,10,0,59,64,0,0,0,9,9,12,0,34,73,0,0,73,0,0,0,0,0,41283
2752,959,1127,111131,1101100,40412,2330,250,1968,495,259,36,06,001,400900,86,1317,50,937,389,738,2557,63608,1127,9,123,0,32,9,29,16,0,0,46,97,184,74,84,73,351,176,12,0,0,11,27,0,12,114,81,0,0,10,0,18,0,26,27,62,0,0,28,0,0,21,0,13,21,0,0,0,0,0,11,0,10,06001400900,774700,77036,1544,207,109,12,0,16,13,0,36,0,06,001,400900,32,28,7,0,12,0,0,0,0,9,47,6,0,0,0,29,0,12,0,0,0,0,0,0,0,0,0,0,38375
6529,1985,2522,131845,943700,73919,1955,459,5264,2043,675,184,06,001,401000,94,2768,119,1756,946,1576,2282,56851,2522,127,60,0,0,19,59,94,90,13,189,171,111,250,192,495,652,499,35,1,39,67,89,136,18,114,378,131,0,19,21,70,0,18,119,16,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,06001401000,728800,92237,1767,170,405,5,0,45,68,32,118,11,06,001,401000,126,302,4,0,38,92,36,46,9,77,64,0,0,0,34,0,0,15,15,0,0,0,0,0,0,0,0,0,40250
5627,2390,2739,95479,1110000,184433,2198,441,4435,1687,909,314,06,001,401100,150,2875,176,1298,489,2250,2394,61778,2739,173,79,0,69,31,49,11,99,28,61,260,693,186,204,152,644,668,35,27,80,53,19,46,0,408,366,26,15,19,23,61,0,43,179,124,0,0,0,0,0,0,0,124,64,0,0,64,0,0,0,0,0,06001401100,889800,238072,1701,110,547,38,28,64,69,56,83,57,06,001,401100,152,322,40,3,30,14,75,22,0,138,144,31,19,0,31,14,49,0,0,18,0,0,0,0,18,0,0,0,48058
3068,1764,1496,117593,1172000,73165,2500,296,2597,989,629,129,06,001,401200,144,1549,79,706,612,884,2678,87368,1496,45,20,31,22,11,17,89,7,9,96,102,208,171,27,117,524,296,0,0,32,0,9,42,36,177,233,7,28,29,0,37,0,0,132,126,0,21,0,10,0,0,19,76,0,0,0,0,0,0,0,0,0,06001401200,873800,51212,1748,316,195,20,0,21,12,18,7,16,06,001,401200,101,102,20,29,0,0,0,8,9,36,93,7,0,0,16,29,0,7,34,0,0,0,0,0,0,0,0,0,50986
4368,1459,2396,105556,793300,549440,2185,230,3847,1306,449,170,06,001,401300,155,2785,143,507,277,2119,2219,70288,2396,105,128,7,57,64,40,71,72,45,57,83,269,444,342,212,400,574,54,20,17,19,0,33,64,367,344,42,0,32,20,35,7,0,208,169,0,5,0,24,17,35,12,76,6,0,0,0,0,0,0,0,6,06001401300,783100,60488,1237,139,386,76,68,24,14,55,43,37,06,001,401300,69,274,13,5,55,9,41,19,17,115,148,29,32,0,19,16,9,9,34,30,0,0,6,8,9,0,0,7,32375
4876,1278,1709,87208,846800,60864,1899,481,3440,917,341,82,06,001,401400,21,1941,173,1178,389,1320,2059,30873,1709,186,138,15,36,39,90,42,0,29,76,64,253,296,98,115,232,609,11,167,0,172,51,34,0,174,273,0,76,14,23,51,12,28,69,142,0,0,0,0,64,0,37,41,34,0,7,0,0,0,0,0,27,06001401400,546700,78952,1399,136,666,95,143,125,71,81,79,0,06,001,401400,72,286,94,0,43,15,39,9,13,73,102,0,0,0,69,22,11,0,0,40,30,0,10,0,0,0,0,0,25839
2827,596,1254,62744,828300,57327,1409,514,2209,528,246,34,06,001,401500,6,1353,81,839,416,838,2182,39101,1254,126,158,50,98,23,51,26,0,18,47,89,163,51,77,110,167,235,58,2,40,13,13,51,11,47,131,11,42,13,0,16,0,0,49,36,6,0,7,0,0,16,0,7,0,0,0,0,0,0,0,0,0,06001401500,561200,52653,1402,407,312,50,23,61,63,56,36,0,06,001,401500,23,230,0,19,31,31,35,11,10,93,38,0,0,0,0,5,20,5,8,10,0,0,10,0,0,0,0,0,32071
2617,552,969,135234,766300,85346,2195,288,1908,502,283,70,06,001,401600,22,1061,34,459,302,667,2448,73103,969,65,6,14,36,2,32,48,13,7,49,59,93,45,50,97,353,295,26,2,0,21,0,7,7,232,51,0,0,0,0,20,0,20,11,77,27,0,7,0,2,10,24,7,0,0,0,0,0,0,0,0,0,06001401600,577100,57717,1446,185,282,22,50,57,55,0,32,9,06,001,401600,57,176,0,29,13,42,16,0,17,59,27,7,0,6,0,0,7,0,7,21,14,0,7,0,0,0,0,0,37450
3519,1390,1515,146840,758000,68485,2835,186,2866,1042,546,46,06,001,401700,90,1802,183,604,653,862,2979,78895,1515,43,82,13,20,0,10,0,9,106,49,7,60,194,189,236,497,278,23,27,0,0,45,19,0,164,250,49,18,0,0,83,16,7,77,108,0,0,0,0,36,0,35,37,12,0,0,0,0,0,0,0,12,06001401700,585400,37148,1997,334,235,6,10,82,24,10,57,0,06,001,401700,46,160,17,0,0,0,44,53,0,46,11,0,0,0,0,0,0,11,0,29,0,0,0,0,0,0,8,21,55224
1816,482,710,69500,1041000,128635,1648,185,1312,493,171,21,06,001,401800,48,826,32,507,185,525,1769,55256,710,55,69,48,0,26,17,0,0,8,46,131,70,48,8,47,137,76,11,1,28,0,36,0,0,0,39,0,0,0,0,21,10,0,8,41,0,0,0,11,8,0,5,17,0,0,0,0,0,0,0,0,0,06001401800,552300,139815,980,217,213,15,19,49,58,34,21,0,06,001,401800,17,60,5,10,0,11,20,0,5,9,65,22,0,15,16,0,5,0,7,0,0,0,0,0,0,0,0,0,35852
2385,817,952,111364,727700,98182,2574,957,1971,871,170,48,06,001,402200,47,1100,63,560,374,578,2565,50417,952,39,48,35,21,15,35,7,8,0,90,96,63,68,88,188,151,421,54,0,0,67,68,10,104,118,179,8,0,3,11,42,0,42,73,19,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,06001402200,684100,90905,1593,448,134,17,0,4,38,21,26,13,06,001,402200,15,146,5,10,0,0,0,32,17,82,14,0,0,9,0,0,0,0,5,12,12,0,0,0,0,0,0,0,38576
2727,424,1282,42078,752500,172189,1252,329,2082,402,144,30,06,001,402400,35,1341,8,590,299,983,1488,31669,1282,115,129,100,102,25,62,44,88,82,83,127,125,6,51,33,110,96,15,8,38,15,0,20,0,0,14,1,0,0,0,0,6,0,7,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,06001402400,610800,80220,1024,291,169,2,0,0,0,22,52,38,06,001,402400,55,127,8,0,52,0,25,14,9,19,37,0,0,0,0,0,23,0,14,0,0,0,0,0,0,0,0,0,31875
1877,442,717,-666666666,947300,82431,1033,562,1257,281,53,0,06,001,402500,0,805,39,127,109,608,1080,27028,717,73,111,75,40,28,1,32,0,3,3,72,57,129,30,5,58,255,34,60,0,42,68,10,19,22,40,0,0,18,0,0,0,22,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,06001402500,720000,154977,867,151,106,7,0,22,17,0,29,11,06,001,402500,20,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20393
1255,141,614,48362,796900,103443,1196,391,936,291,86,15,06,001,402600,25,661,26,126,111,503,1377,36354,614,91,85,57,12,0,0,19,26,36,49,46,39,29,6,35,84,109,27,0,19,9,42,0,8,4,66,10,6,0,0,0,0,0,50,12,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,06001402600,557400,81709,976,201,75,12,5,19,18,16,0,0,06,001,402600,5,24,0,6,0,0,13,0,0,5,15,15,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,21337
2056,494,777,97250,892900,37850,2188,461,1483,485,158,55,06,001,402700,25,843,15,518,216,561,2540,47167,777,127,42,36,4,13,20,14,0,28,32,11,67,61,105,45,172,168,51,6,6,19,0,51,0,35,203,32,13,4,26,35,12,16,65,81,22,0,0,0,6,0,0,53,0,0,0,0,0,0,0,0,0,06001402700,673400,81058,1317,230,165,15,0,50,33,30,20,0,06,001,402700,17,33,0,0,0,27,0,0,0,6,24,14,0,5,0,0,0,0,5,7,0,0,0,0,7,0,0,0,40354
2111,467,1402,41094,-666666666,-222222222,1907,206,1860,544,341,34,06,001,402900,75,1779,45,476,0,1402,1932,38107,1402,184,236,65,65,42,17,85,37,13,0,151,96,0,36,161,214,284,0,0,15,12,17,0,35,205,189,0,22,74,9,21,0,18,45,77,0,0,0,17,0,0,0,60,40,0,17,12,0,11,0,0,0,06001402900,-666666666,-222222222,1020,96,127,30,15,7,9,22,0,5,06,001,402900,39,57,0,0,0,9,31,0,9,8,41,9,0,0,5,5,5,0,17,14,0,0,9,0,0,0,5,0,23264
3125,401,1781,50966,580500,41840,1603,811,2816,625,428,45,06,001,403000,0,2157,51,401,389,1392,1607,33864,1781,229,250,46,142,83,44,39,0,20,139,87,109,124,74,287,108,182,55,0,0,0,18,64,0,45,241,11,0,0,0,19,0,0,211,71,0,14,0,0,0,0,23,34,0,0,0,0,0,0,0,0,0,06001403000,455400,41499,822,311,170,108,53,0,0,0,0,0,06,001,403000,9,39,0,0,0,27,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16044
2174,720,1119,154095,659800,37671,3139,359,1976,771,384,39,06,001,403100,69,1378,52,126,357,762,3079,101250,1119,62,0,59,36,0,49,14,0,28,30,22,20,102,119,191,387,153,18,25,0,8,0,10,0,92,262,6,41,16,3,22,10,0,164,36,0,0,16,0,0,0,12,8,142,0,0,0,12,0,14,0,116,06001403100,608200,31037,2405,376,119,29,26,4,11,0,6,0,06,001,403100,43,153,44,8,7,8,47,0,33,6,157,6,0,61,0,10,10,0,70,0,0,0,0,0,0,0,0,0,50833
5421,1893,2914,123981,1045000,128957,2059,581,4769,1735,993,412,06,001,403501,111,3512,59,814,440,2474,2425,72224,2914,287,95,68,153,105,114,34,17,49,59,106,174,207,351,312,783,513,86,43,78,18,36,0,79,173,472,12,15,14,80,110,0,17,224,217,18,0,81,0,7,0,15,96,0,0,0,0,0,0,0,0,0,06001403501,664100,283918,1302,111,535,74,26,39,52,113,88,105,06,001,403501,38,258,52,0,0,102,14,26,13,51,128,13,0,0,33,29,0,0,53,0,0,0,0,0,0,0,0,0,35911
1885,867,1086,95556,670000,138183,2003,229,1578,665,237,25,06,001,403502,52,1438,59,277,128,958,2037,75340,1086,67,60,43,53,9,17,16,0,0,23,101,161,122,62,180,172,112,0,1,0,15,8,0,16,72,63,0,0,0,0,30,16,0,17,34,9,0,8,9,0,0,0,8,0,0,0,0,0,0,0,0,0,06001403502,464500,76087,1651,128,138,6,3,0,17,8,9,41,06,001,403502,54,66,6,0,7,0,17,7,0,29,102,2,0,10,0,0,36,9,45,0,0,0,0,0,0,0,0,0,47500
4902,1717,2846,105588,889800,87684,2053,238,4171,1543,974,113,06,001,403600,313,3125,61,365,461,2385,2147,90229,2846,161,27,15,40,77,60,16,80,43,117,131,506,490,247,333,503,286,24,33,0,20,6,43,28,132,472,17,0,0,71,46,78,0,260,19,0,0,0,0,0,0,0,19,29,29,0,0,0,0,0,0,0,06001403600,549000,98056,1668,146,495,51,2,69,129,55,46,0,06,001,403600,143,301,25,36,71,0,16,0,0,153,162,9,0,19,14,0,0,0,120,55,32,0,23,0,0,0,0,0,41749
2875,1190,1677,91030,645700,65287,2569,230,2375,780,614,52,06,001,403701,129,1880,84,411,206,1471,2571,73682,1677,110,14,0,102,39,32,0,9,30,85,232,279,173,97,270,205,296,16,82,24,0,0,70,0,104,57,2,0,10,11,0,0,0,34,37,1,6,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,06001403701,425900,111304,1619,111,173,50,0,12,35,10,11,9,06,001,403701,46,112,9,0,10,2,0,21,14,56,87,0,0,12,7,19,7,0,42,0,0,0,0,0,0,0,0,0,53909
2264,1235,1239,120795,1004800,316752,2301,147,1811,721,474,59,06,001,403702,67,1375,14,613,199,1040,2336,79803,1239,0,31,24,16,23,43,27,11,11,46,50,221,146,150,178,262,336,21,18,0,14,41,87,16,139,165,0,0,0,32,0,36,0,97,56,23,0,11,11,0,0,0,11,0,0,0,0,0,0,0,0,0,06001403702,724700,141106,1738,89,11,0,0,0,0,0,11,0,06,001,403702,0,97,0,13,0,10,12,0,20,42,44,0,35,0,0,9,0,0,0,20,0,0,0,0,10,0,0,10,66417
3996,2450,2012,153750,1419400,196267,2338,144,3302,1208,906,194,06,001,403800,205,2117,80,1192,750,1262,2421,89563,2012,40,55,38,31,0,43,11,0,67,108,104,122,128,165,347,753,228,5,0,26,38,9,0,11,139,197,0,5,10,31,29,18,29,75,68,0,0,0,10,7,34,0,17,5,0,0,0,0,5,0,0,0,06001403800,1052700,79714,1806,133,172,11,19,23,12,0,13,33,06,001,403800,61,127,0,2,33,10,11,11,13,47,92,2,31,0,0,7,0,18,34,12,12,0,0,0,0,0,0,0,67365
3864,2526,2203,104342,592400,73058,2257,257,3328,1434,521,347,06,001,403900,151,2443,40,653,816,1387,2172,76000,2203,34,129,60,22,0,102,0,13,71,39,318,188,204,152,290,581,155,20,0,0,0,80,12,0,43,145,0,42,0,16,32,0,0,55,77,0,0,0,0,0,13,32,32,60,0,0,0,47,13,0,0,0,06001403900,664700,135197,1679,200,432,2,26,16,123,0,192,0,06,001,403900,73,250,29,14,44,13,43,0,45,62,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61573
2984,1558,1756,104919,741300,110853,2145,196,2396,981,704,93,06,001,404000,76,1946,244,352,470,1286,2277,72011,1756,51,40,0,50,61,16,107,11,67,44,205,196,186,172,153,397,239,0,21,0,35,0,24,11,148,39,0,0,18,0,15,0,0,6,95,13,0,8,0,53,0,21,0,0,0,0,0,0,0,0,0,0,06001404000,629600,54542,1638,85,108,23,0,0,0,10,0,25,06,001,404000,50,42,0,0,11,0,0,11,10,10,11,0,0,0,11,0,0,0,0,31,0,0,0,0,0,21,10,0,57564
3155,2150,1739,123508,1131400,99730,2343,197,2700,1023,749,151,06,001,404101,221,1888,74,1000,602,1137,2453,87105,1739,82,47,6,19,64,90,14,10,56,98,56,181,165,113,176,562,340,51,7,22,0,7,31,9,213,193,0,0,0,75,15,30,11,62,124,0,0,0,34,30,0,0,60,37,0,10,27,0,0,0,0,0,06001404101,801500,75549,1782,114,170,3,0,10,0,16,16,22,06,001,404101,103,168,9,0,0,14,8,44,6,87,48,12,0,0,0,12,0,0,24,17,8,0,0,0,0,0,0,9,71314
2623,1468,1581,108750,705100,245660,2130,183,2343,831,525,199,06,001,404102,60,1750,70,549,276,1305,2077,78299,1581,40,82,35,64,9,48,42,16,42,69,97,147,183,156,167,384,440,24,0,16,49,67,65,37,182,45,19,0,0,0,0,0,0,26,157,19,0,18,36,0,0,11,73,0,0,0,0,0,0,0,0,0,06001404102,682700,112146,1543,175,280,43,23,57,13,34,10,21,06,001,404102,79,51,0,0,0,0,0,11,10,30,93,0,12,19,23,0,12,0,27,10,0,0,0,0,0,0,0,10,60120
3584,2467,1401,246193,1758200,137881,2918,513,2477,745,715,396,06,001,404200,246,1492,149,443,1178,223,3843,124464,1401,28,0,0,13,8,0,25,6,0,17,49,57,162,83,143,810,197,21,8,0,0,27,0,28,113,46,6,0,0,0,0,0,0,40,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06001404200,1220500,69631,2477,767,97,19,0,0,18,0,8,0,06,001,404200,52,114,18,0,0,0,6,0,0,90,24,24,0,0,0,0,0,0,0,51,27,0,0,12,0,0,0,12,81588
3510,2617,1427,215972,1991600,227282,3501,-333333333,2553,782,759,466,06,001,404300,228,1542,109,737,1300,127,4001,102708,1427,8,37,20,19,0,0,41,28,8,92,16,90,93,74,148,753,15,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,06001404300,1567400,98457,2329,990,16,0,0,0,0,0,0,0,06,001,404300,16,139,0,0,0,13,0,8,13,105,24,19,0,0,0,0,5,0,0,36,0,25,0,0,0,11,0,0,85968
5657,3042,2381,218272,1399900,170577,3501,-333333333,4358,1603,1184,504,06,001,404400,375,2461,77,612,2071,310,3594,99519,2381,75,17,33,24,70,46,28,26,14,95,49,200,131,80,242,1251,362,0,0,0,0,0,46,18,298,75,23,0,0,0,22,0,16,14,16,0,0,0,0,0,0,0,16,41,41,0,0,0,0,0,0,0,06001404400,995000,64801,3047,388,214,0,12,0,0,46,16,0,06,001,404400,140,127,27,0,9,53,0,0,0,38,56,0,0,0,0,0,0,0,56,37,0,0,0,0,0,0,0,37,78191
1830,1124,685,239271,1965500,177946,3501,-333333333,1347,447,289,221,06,001,404501,107,722,156,144,575,110,4001,108295,685,4,0,0,3,0,16,0,15,0,8,30,46,39,32,125,367,158,14,0,0,0,0,0,14,130,5,0,0,0,0,0,0,0,5,11,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,06001404501,1242200,129705,2214,917,96,7,6,0,0,0,5,0,06,001,404501,78,30,0,0,0,0,0,0,0,30,13,0,0,0,0,8,0,0,5,10,5,0,0,0,0,0,0,5,96458
6038,3883,2573,246431,1359100,46727,3501,-333333333,4530,1797,1168,444,06,001,404502,380,2590,275,385,2400,173,3972,123387,2573,20,67,0,44,18,0,0,38,42,14,105,124,201,51,313,1536,330,22,2,0,0,21,17,12,256,141,13,0,29,0,0,0,0,99,125,0,0,0,2,0,0,0,123,0,0,0,0,0,0,0,0,0,06001404502,1001200,68633,2402,348,201,1,16,0,0,18,77,16,06,001,404502,73,234,2,0,9,16,0,0,65,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95588
4767,2851,1869,226838,1272100,88555,2935,985,3795,1386,1021,282,06,001,404600,288,1930,288,134,1570,299,3665,96623,1869,57,44,0,0,9,0,12,21,10,10,79,116,107,51,311,1042,253,0,11,0,0,11,33,0,198,71,11,0,11,0,0,0,0,49,111,69,0,9,12,0,0,0,21,67,0,10,7,36,0,10,4,0,06001404600,1008300,49700,2245,431,184,15,21,0,0,14,15,41,06,001,404600,78,149,9,9,0,8,30,0,0,93,40,9,0,0,0,31,0,0,0,55,0,25,20,0,0,0,0,10,76220
2223,1471,857,250001,1531400,89401,3175,418,1764,680,499,159,06,001,404700,146,901,196,359,794,63,4001,125625,857,28,0,5,0,0,4,0,11,0,10,33,71,31,28,92,544,79,6,16,6,0,0,0,5,46,85,0,9,0,0,0,0,0,76,15,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,06001404700,1044200,59586,3158,950,64,6,0,0,13,11,17,0,06,001,404700,17,82,23,15,0,0,0,0,0,44,61,7,8,0,0,0,0,0,46,8,0,0,8,0,0,0,0,0,96923
2622,1372,1142,97813,1176600,87232,1661,186,1889,592,432,124,06,001,404800,123,1266,134,588,605,537,1967,67450,1142,112,109,0,14,0,10,40,32,6,32,138,92,25,77,113,342,52,0,0,0,21,0,0,14,17,16,16,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06001404800,870300,56861,1452,213,130,0,8,10,11,19,33,7,06,001,404800,42,17,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58750
4798,2667,2065,131921,1199500,68110,2221,185,3749,1247,862,280,06,001,404900,206,2165,129,1646,1234,831,2412,71484,2065,45,26,7,66,11,76,40,23,60,181,121,163,119,162,349,616,323,22,0,14,19,60,51,0,157,325,0,0,0,29,0,115,46,135,22,15,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,06001404900,880200,43376,1676,247,55,0,36,0,9,10,0,0,06,001,404900,0,60,0,0,0,4,0,17,0,39,16,0,0,8,0,0,8,0,0,14,0,0,0,0,0,0,0,14,65966
3670,2087,1563,146932,1405200,198397,2046,244,2758,824,764,227,06,001,405000,181,1761,111,1144,1051,512,2765,85094,1563,38,101,12,8,0,49,14,27,91,20,17,116,107,189,120,654,108,9,0,0,0,8,0,0,91,60,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,24,06001405000,1037200,54415,1502,218,146,8,11,17,12,0,27,9,06,001,405000,62,55,0,0,0,7,12,0,0,36,16,0,0,0,0,0,8,0,8,25,0,0,1,24,0,0,0,0,84531
4451,2831,1694,250001,1915500,73562,-666666666,-222222222,3176,1128,866,305,06,001,405100,325,1775,175,1404,1602,92,4001,123727,1694,71,0,26,0,0,0,12,0,8,46,53,78,33,141,145,1081,126,0,0,0,0,8,0,0,118,163,12,10,11,0,0,0,0,130,7,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,6,06001405100,1358800,108613,2580,427,90,14,11,0,8,14,9,0,06,001,405100,34,168,0,0,0,9,0,8,0,151,27,7,4,0,0,0,12,0,4,9,0,0,0,0,0,0,0,9,89046
4916,1350,2298,107298,1074700,123539,1847,104,4048,1272,989,115,06,001,405200,215,2571,205,1150,456,1842,1751,63103,2298,89,83,11,13,50,44,83,38,97,175,88,264,326,146,272,519,320,0,0,10,15,0,17,13,265,46,0,0,9,14,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,06001405200,888900,116014,1572,159,209,0,6,0,40,0,14,0,06,001,405200,149,210,11,73,12,0,14,33,0,67,31,0,0,0,15,16,0,0,0,2,0,0,0,0,0,0,2,0,48828
