pop_23,white_23,B19001_001E_x,hinc_23,mhval_23,mhval_23_se,mrent_23,mrent_23_se,total_25_23,total_25_col_bd_23,total_25_col_md_23,total_25_col_pd_23,state_x,county_x,tract_x,total_25_col_phd_23,tot_units_built_23,units_40_49_built_23,units_39_early_built_23,ohu_23,rhu_23,mmhcosts_23,iinc_23,B19001_001E_y,I_10000_23,I_15000_23,I_20000_23,I_25000_23,I_30000_23,I_35000_23,I_40000_23,I_45000_23,I_50000_23,I_60000_23,I_75000_23,I_100000_23,I_125000_23,I_150000_23,I_200000_23,I_201000_23,mov_wc_w_income_23,mov_wc_9000_23,mov_wc_15000_23,mov_wc_25000_23,mov_wc_35000_23,mov_wc_50000_23,mov_wc_65000_23,mov_wc_75000_23,mov_wc_76000_more_23,mov_oc_w_income_23,mov_oc_9000_23,mov_oc_15000_23,mov_oc_25000_23,mov_oc_35000_23,mov_oc_50000_23,mov_oc_65000_23,mov_oc_75000_23,mov_oc_76000_more_23,mov_os_w_income_23,mov_os_9000_23,mov_os_15000_23,mov_os_25000_23,mov_os_35000_23,mov_os_50000_23,mov_os_65000_23,mov_os_75000_23,mov_os_76000_more_23,mov_fa_w_income_23,mov_fa_9000_23,mov_fa_15000_23,mov_fa_25000_23,mov_fa_35000_23,mov_fa_50000_23,mov_fa_65000_23,mov_fa_75000_23,mov_fa_76000_more_23,FIPS,mhval_19,mhval_19_se,mrent_19,mrent_19_se,mov_wc_w_income_19,mov_wc_9000_19,mov_wc_15000_19,mov_wc_25000_19,mov_wc_35000_19,mov_wc_50000_19,mov_wc_65000_19,mov_wc_75000_19,state_y,county_y,tract_y,mov_wc_76000_more_19,mov_oc_w_income_19,mov_oc_9000_19,mov_oc_15000_19,mov_oc_25000_19,mov_oc_35000_19,mov_oc_50000_19,mov_oc_65000_19,mov_oc_75000_19,mov_oc_76000_more_19,mov_os_w_income_19,mov_os_9000_19,mov_os_15000_19,mov_os_25000_19,mov_os_35000_19,mov_os_50000_19,mov_os_65000_19,mov_os_75000_19,mov_os_76000_more_19,mov_fa_w_income_19,mov_fa_9000_19,mov_fa_15000_19,mov_fa_25000_19,mov_fa_35000_19,mov_fa_50000_19,mov_fa_65000_19,mov_fa_75000_19,mov_fa_76000_more_19,iinc_19
4191,906,982,155167,1355700,66964,3165,368,2824,676,227,56,06,085,505007,20,1015,14,0,592,390,2994,43601,982,40,0,12,9,12,8,12,21,8,11,42,175,91,49,107,385,254,96,36,19,24,47,10,0,22,73,30,13,11,6,4,0,0,9,23,8,8,7,0,0,0,0,0,35,7,0,6,0,7,0,0,15,06085505007,949400,56602,2422,148,443,99,53,26,66,56,27,10,06,085,505007,106,46,14,0,12,0,8,4,0,8,90,42,9,8,0,0,8,0,23,40,19,0,7,0,9,0,0,5,30280
3920,807,2013,108539,948800,168654,2210,202,3285,986,631,67,06,085,505100,261,2147,429,31,632,1381,2408,70187,2013,165,96,59,70,44,21,9,28,24,41,147,254,162,79,261,553,394,30,24,20,25,35,77,12,171,122,0,0,0,0,0,21,0,101,79,46,0,0,0,0,0,0,33,41,16,0,9,16,0,0,0,0,06085505100,632400,42712,1728,239,428,71,54,117,38,30,27,0,06,085,505100,91,271,30,0,63,0,11,67,12,88,131,44,0,0,0,0,0,0,87,53,0,0,12,0,0,0,0,41,50580
8473,2028,3572,138438,1154400,86037,3154,155,6343,1589,1275,156,06,085,505202,272,3823,48,474,884,2688,3172,75612,3572,292,14,30,135,82,25,15,48,53,128,142,366,352,172,313,1405,978,71,0,91,35,119,104,38,520,267,11,0,24,0,43,26,0,163,293,11,15,0,14,66,0,0,187,130,10,0,10,13,13,42,0,42,06085505202,884100,59617,1995,137,484,20,81,84,22,92,18,3,06,085,505202,164,150,28,16,16,38,0,0,21,31,337,4,63,28,67,47,0,17,111,150,0,0,0,0,63,58,0,29,42713
5557,2484,1384,118021,1212000,82576,3014,345,2111,670,598,73,06,085,505203,102,1494,149,224,730,654,3458,18708,1384,180,20,0,49,0,22,0,28,54,53,163,40,112,79,137,447,559,201,118,28,5,0,11,12,184,464,205,26,75,11,50,14,11,72,472,253,39,67,58,18,11,0,26,45,37,0,0,8,0,0,0,0,06085505203,864500,57354,2436,313,525,235,9,60,6,13,7,20,06,085,505203,175,476,324,9,20,57,16,11,0,39,491,371,33,12,7,26,9,11,22,90,51,14,11,8,0,0,0,6,11648
5118,1069,2020,187759,1537600,171808,3337,338,4025,1244,973,101,06,085,505301,270,2170,0,36,474,1546,3215,87333,2020,66,24,0,4,16,29,0,25,37,63,26,216,130,217,233,934,395,56,0,33,0,8,0,16,282,338,0,25,1,108,23,60,0,121,127,0,0,0,28,0,0,0,99,52,0,0,0,0,0,0,19,33,06085505301,911200,54754,2926,350,314,20,0,14,0,38,32,16,06,085,505301,194,153,11,0,14,1,47,0,0,80,204,0,42,32,10,35,16,0,69,69,0,0,9,0,0,14,0,46,42134
4796,1498,1629,184125,1544500,85945,3303,257,3295,978,697,29,06,085,505302,191,1691,8,0,1080,549,2968,80288,1629,29,100,20,17,9,0,14,16,9,16,75,130,94,74,267,759,208,14,0,3,14,4,0,10,163,28,0,0,8,0,0,9,0,11,102,0,5,0,25,0,3,0,69,15,0,0,0,0,0,0,0,15,06085505302,942700,70574,2320,245,285,10,0,19,31,15,47,11,06,085,505302,152,42,2,13,8,0,0,0,0,19,48,1,0,20,0,0,7,0,20,51,15,8,0,0,0,0,15,13,48165
5699,1383,2191,140536,1395800,193618,2445,169,3962,1152,955,54,06,085,505303,62,2401,18,23,873,1318,2740,65197,2191,27,0,97,9,57,38,0,39,87,157,162,194,178,97,242,807,530,54,0,26,0,54,31,23,342,219,0,0,0,31,0,29,0,159,129,0,0,0,66,0,0,0,63,41,0,0,0,0,0,24,17,0,06085505303,861300,105813,2094,183,414,30,18,25,0,51,17,21,06,085,505303,252,154,0,66,0,68,0,0,0,20,24,0,0,0,0,0,0,0,24,57,0,0,0,57,0,0,0,0,41793
3746,966,1136,216550,1648300,80666,3501,-333333333,2854,692,812,6,06,085,505304,49,1136,65,0,912,224,3625,71667,1136,30,15,11,9,8,10,8,8,0,14,38,96,85,91,66,647,187,0,0,75,0,0,74,0,38,115,0,69,14,0,0,0,0,32,32,0,23,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,06085505304,996000,76534,3129,214,67,1,0,0,0,0,0,8,06,085,505304,58,43,7,0,0,7,8,0,0,21,63,28,7,0,5,0,15,0,8,0,0,0,0,0,0,0,0,0,47381
5531,2068,2114,219000,1705900,98363,2894,255,4090,1231,1222,292,06,085,505305,480,2311,14,0,1206,908,2919,118153,2114,127,0,0,13,29,32,24,0,17,61,121,139,162,95,187,1107,373,22,0,0,0,12,0,0,339,80,50,0,0,0,10,20,0,0,139,19,0,0,0,0,0,0,120,72,0,0,0,0,0,0,0,72,06085505305,1106000,79050,2258,135,269,77,0,23,0,0,0,31,06,085,505305,138,109,0,0,0,0,63,31,0,15,285,0,0,0,0,0,70,52,163,15,15,0,0,0,0,0,0,0,53389
6681,1416,2932,158350,983300,215782,3019,162,5483,2133,1756,168,06,085,505401,327,2988,102,74,641,2291,3039,83553,2932,204,13,0,37,168,21,77,19,0,7,174,197,212,131,501,1171,1125,30,5,62,50,0,80,111,787,148,20,0,0,14,0,28,0,86,105,55,0,0,17,18,15,0,0,286,63,50,41,44,0,0,40,48,06085505401,956100,166626,2594,128,784,18,9,101,53,0,159,24,06,085,505401,420,216,36,0,0,37,0,0,12,131,298,0,0,33,32,0,65,21,147,217,50,0,112,0,10,14,0,31,63269
