agency_name,stop_name,number_of_routes_served,route_id(s)_served,route_type,number_of_arrivals,number_of_hours_in_service,x,y,route_type_defined,geometry,county_name,total_arrivals,hqta_type,SB79_tier,route_type_defined	
Santa Clara Valley Transportation Authority,Cottle Station,1,Blue Line,0,70,21,-121.803159,37.242732,Tram/Light Rail,POINT (-121.803159 37.242732),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Snell Station,1,Blue Line,0,70,21,-121.831339001,37.248054999,Tram/Light Rail,POINT (-121.831339001 37.248054999),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Blossom Hill Station,1,Blue Line,0,70,21,-121.841811,37.2531500000001,Tram/Light Rail,POINT (-121.841811 37.2531500000001),Santa Clara,400,,Tier 2,
Santa Clara Valley Transportation Authority,Branham Station,1,Blue Line,0,70,21,-121.859381,37.267296,Tram/Light Rail,POINT (-121.859381 37.267296),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Capitol Station,1,Blue Line,0,70,21,-121.863268999,37.275293,Tram/Light Rail,POINT (-121.863268999 37.275293),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Curtner Station,1,Blue Line,0,70,21,-121.872703,37.293955,Tram/Light Rail,POINT (-121.872703 37.293955),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Tamien Station,1,Blue Line,0,70,21,-121.884809,37.311927,Tram/Light Rail,POINT (-121.884809 37.311927),Santa Clara,726,,Tier 2,
Santa Clara Valley Transportation Authority,Virginia Station,1,Blue Line,0,70,21,-121.890104,37.319828,Tram/Light Rail,POINT (-121.890104 37.319828),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Children's Discovery Museum Station,1,Blue Line,0,70,21,-121.893665,37.3277650000001,Tram/Light Rail,POINT (-121.893665 37.3277650000001),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Convention Center Station,2,"Blue Line, Green Line",0,138,21,-121.889754,37.3301680000001,Tram/Light Rail,POINT (-121.889754 37.3301680000001),Santa Clara,544,,Tier 2,
Santa Clara Valley Transportation Authority,San Antonio Station,2,"Blue Line, Green Line",0,138,21,-121.887979,37.3327820010001,Tram/Light Rail,POINT (-121.887979 37.3327820010001),Santa Clara,544,,Tier 2,
Santa Clara Valley Transportation Authority,Santa Clara Station,2,"Blue Line, Green Line",0,138,21,-121.890354,37.335924,Tram/Light Rail,POINT (-121.890354 37.335924),Santa Clara,546,,Tier 2,
Santa Clara Valley Transportation Authority,Saint James Station,2,"Blue Line, Green Line",0,138,21,-121.892183001,37.3384020010001,Tram/Light Rail,POINT (-121.892183001 37.3384020010001),Santa Clara,546,,Tier 2,
Santa Clara Valley Transportation Authority,Japantown/Ayer Station,2,"Blue Line, Green Line",0,138,21,-121.897559,37.345557,Tram/Light Rail,POINT (-121.897559 37.345557),Santa Clara,546,,Tier 2,
Santa Clara Valley Transportation Authority,Civic Center Station,2,"Blue Line, Green Line",0,138,20,-121.902434,37.352016001,Tram/Light Rail,POINT (-121.902434 37.352016001),Santa Clara,802,,Tier 2,
Santa Clara Valley Transportation Authority,Gish Station,2,"Blue Line, Green Line",0,130,19,-121.91016,37.3625440000001,Tram/Light Rail,POINT (-121.91016 37.3625440000001),Santa Clara,514,,Tier 2,
Santa Clara Valley Transportation Authority,Metro/Airport Station,2,"Blue Line, Green Line",0,130,19,-121.91599,37.3703640000001,Tram/Light Rail,POINT (-121.91599 37.3703640000001),Santa Clara,514,,Tier 2,
Santa Clara Valley Transportation Authority,Karina Station,2,"Blue Line, Green Line",0,130,19,-121.920405,37.3762780000001,Tram/Light Rail,POINT (-121.920405 37.3762780000001),Santa Clara,514,,Tier 2,
Santa Clara Valley Transportation Authority,Component Station,2,"Blue Line, Green Line",0,130,19,-121.925777,37.3834830000001,Tram/Light Rail,POINT (-121.925777 37.3834830000001),Santa Clara,514,,Tier 2,
Santa Clara Valley Transportation Authority,Bonaventura Station,2,"Blue Line, Green Line",0,130,19,-121.929742,37.3887490000001,Tram/Light Rail,POINT (-121.929742 37.3887490000001),Santa Clara,514,,Tier 2,
Santa Clara Valley Transportation Authority,Orchard Station,2,"Blue Line, Green Line",0,130,19,-121.934869,37.3957300000001,Tram/Light Rail,POINT (-121.934869 37.3957300000001),Santa Clara,634,,Tier 2,
Santa Clara Valley Transportation Authority,River Oaks Station,2,"Blue Line, Green Line",0,130,19,-121.940027,37.4028470000001,Tram/Light Rail,POINT (-121.940027 37.4028470000001),Santa Clara,514,,Tier 2,
Santa Clara Valley Transportation Authority,Tasman Station,2,"Blue Line, Green Line",0,130,19,-121.944463,37.408668999,Tram/Light Rail,POINT (-121.944463 37.408668999),Santa Clara,514,,Tier 2,
Santa Clara Valley Transportation Authority,Baypointe Station,1,Orange Line,0,65,19,-121.941526,37.410779,Tram/Light Rail,POINT (-121.941526 37.410779),Santa Clara,670,,Tier 2,
Santa Clara Valley Transportation Authority,Mountain View Station,1,Orange Line,0,63,18,-122.077596,37.3952830000001,Tram/Light Rail,POINT (-122.077596 37.3952830000001),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Whisman Station,1,Orange Line,0,63,19,-122.058220001,37.392205,Tram/Light Rail,POINT (-122.058220001 37.392205),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Middlefield Station,1,Orange Line,0,63,19,-122.051959,37.3960700010001,Tram/Light Rail,POINT (-122.051959 37.3960700010001),Santa Clara,370,,Tier 2,
Santa Clara Valley Transportation Authority,Bayshore Nasa Station,1,Orange Line,0,63,19,-122.049167,37.4043270000001,Tram/Light Rail,POINT (-122.049167 37.4043270000001),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Lockheed Martin Station,1,Orange Line,0,63,19,-122.026891,37.4100480010001,Tram/Light Rail,POINT (-122.026891 37.4100480010001),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Borregas Station,1,Orange Line,0,63,19,-122.016702,37.411325999,Tram/Light Rail,POINT (-122.016702 37.411325999),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Crossman Station,1,Orange Line,0,63,19,-122.01118,37.4088410000001,Tram/Light Rail,POINT (-122.01118 37.4088410000001),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Fair Oaks Station,1,Orange Line,0,63,19,-122.008638,37.4025780000001,Tram/Light Rail,POINT (-122.008638 37.4025780000001),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Vienna Station,1,Orange Line,0,63,19,-121.998254,37.403354,Tram/Light Rail,POINT (-121.998254 37.403354),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Reamwood Station,1,Orange Line,0,63,19,-121.987407,37.40351,Tram/Light Rail,POINT (-121.987407 37.40351),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Old Ironsides Station,2,"Green Line, Orange Line",0,126,19,-121.978871,37.4032990000001,Tram/Light Rail,POINT (-121.978871 37.4032990000001),Santa Clara,1000,,Tier 2,
Santa Clara Valley Transportation Authority,Great America Station,2,"Green Line, Orange Line",0,126,19,-121.974058,37.403555,Tram/Light Rail,POINT (-121.974058 37.403555),Santa Clara,502,,Tier 2,
Santa Clara Valley Transportation Authority,Lick Mill Station,2,"Green Line, Orange Line",0,126,19,-121.962924999,37.4077950000001,Tram/Light Rail,POINT (-121.962924999 37.4077950000001),Santa Clara,502,,Tier 2,
Santa Clara Valley Transportation Authority,Champion Station,2,"Green Line, Orange Line",0,126,19,-121.951936,37.4088980000001,Tram/Light Rail,POINT (-121.951936 37.4088980000001),Santa Clara,502,,Tier 2,
Santa Clara Valley Transportation Authority,Cisco Station,1,Orange Line,0,65,19,-121.928312,37.4123480000001,Tram/Light Rail,POINT (-121.928312 37.4123480000001),Santa Clara,262,,Tier 2,
Santa Clara Valley Transportation Authority,Alder Station,1,Orange Line,0,65,19,-121.917118,37.413572,Tram/Light Rail,POINT (-121.917118 37.413572),Santa Clara,388,,Tier 2,
Santa Clara Valley Transportation Authority,Moffett Park Station,1,Orange Line,0,63,19,-122.03346,37.4023670010001,Tram/Light Rail,POINT (-122.03346 37.4023670010001),Santa Clara,250,,Tier 2,
Santa Clara Valley Transportation Authority,Great Mall Station,1,Orange Line,0,65,19,-121.901434,37.4139250000001,Tram/Light Rail,POINT (-121.901434 37.4139250000001),Santa Clara,262,,Tier 2,
Santa Clara Valley Transportation Authority,Milpitas Station,1,Orange Line,0,65,19,-121.890618,37.4085490000001,Tram/Light Rail,POINT (-121.890618 37.4085490000001),Santa Clara,262,,Tier 2,
Santa Clara Valley Transportation Authority,Cropley Station,1,Orange Line,0,65,19,-121.881069,37.4026439990001,Tram/Light Rail,POINT (-121.881069 37.4026439990001),Santa Clara,262,,Tier 2,
Santa Clara Valley Transportation Authority,Hostetter Station,1,Orange Line,0,65,19,-121.87029,37.395649,Tram/Light Rail,POINT (-121.87029 37.395649),Santa Clara,524,,Tier 2,
Santa Clara Valley Transportation Authority,Diridon Station,1,Green Line,0,68,20,-121.903511,37.328947,Tram/Light Rail,POINT (-121.903511 37.328947),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Race Station,1,Green Line,0,68,20,-121.910314,37.3175670000001,Tram/Light Rail,POINT (-121.910314 37.3175670000001),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Fruitdale Station,1,Green Line,0,68,20,-121.918017,37.310482,Tram/Light Rail,POINT (-121.918017 37.310482),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Bascom Station,1,Green Line,0,68,19,-121.92983,37.299851,Tram/Light Rail,POINT (-121.92983 37.299851),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Hamilton Station,1,Green Line,0,68,19,-121.936167,37.294064,Tram/Light Rail,POINT (-121.936167 37.294064),Santa Clara,338,,Tier 2,
Santa Clara Valley Transportation Authority,Campbell Station,1,Green Line,0,68,19,-121.943027001,37.2859,Tram/Light Rail,POINT (-121.943027001 37.2859),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Winchester Station,1,Green Line,0,68,19,-121.947906,37.2796099990001,Tram/Light Rail,POINT (-121.947906 37.2796099990001),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,San Fernando Station,1,Green Line,0,68,20,-121.898116,37.3303670010001,Tram/Light Rail,POINT (-121.898116 37.3303670010001),Santa Clara,272,,Tier 2,
Santa Clara Valley Transportation Authority,Branham & Narveaz,1,201,3,1,1,-121.857754,37.2661440000001,Bus,POINT (-121.857754 37.2661440000001),Santa Clara,2,,,
Santa Clara Valley Transportation Authority,San Fernando & Delmas,1,202,3,1,1,-121.897997,37.3302410000001,Bus,POINT (-121.897997 37.3302410000001),Santa Clara,2,,,
Santa Clara Valley Transportation Authority,Cottle & Malone,1,School 256,3,1,1,-121.89606,37.2910650000001,Bus,POINT (-121.89606 37.2910650000001),Santa Clara,2,,,
Santa Clara Valley Transportation Authority,Curtner Station (Bay 3),1,201,3,1,1,-121.872420999,37.2916940010001,Bus,POINT (-121.872420999 37.2916940010001),Santa Clara,128,,,
Santa Clara Valley Transportation Authority,Parkmoor & Race,1,202,3,1,1,-121.911535001,37.3166820000001,Bus,POINT (-121.911535001 37.3166820000001),Santa Clara,2,,,
